"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads"
"ANS - Agência Nacional de Saúde Suplementar";"Painel de Precificação";"Série histórica mensal dos últimos 5 anos do Valor Comercial da Mensalidade e dados relacionados aos componentes do valor comercial nos planos de saúde regulamentados pela ANS e com formação de preço pré-estabelecida. Esses dados são utilizados na elaboração do Painel de Precificação publicado no site da ANS em https://www.gov.br/ans/pt-br/acesso-a-informacao/perfil-do-setor/dados-e-indicadores-do-setor, sob o item “Painéis Dinâmicos”.
 
Os valores estão em preços correntes nominais e, portanto, não são deflacionados ao longo do período.
 
O Valor Comercial de um plano pode apresentar diferenças em relação aos preços de comercialização praticados nas tabelas de venda utilizadas pelas operadoras. Os preços efetivamente praticados para a contratação dos produtos devem estar dentro dos limites de comercialização estabelecidos em normativo, quais sejam:
Limite máximo: 30% acima do Valor Comercial;
Limite mínimo: o maior valor entre o valor da despesa assistencial estimada e o limiar de 30% abaixo do Valor Comercial;
 
Este conjunto de dados disponibiliza informações por plano, por Nota Técnica vigente e por faixa etária para cada mês dos últimos 5 anos.
 
O Painel de Precificação também disponibiliza o valor comercial por município para os planos em comercialização ao fim do mês de dezembro de cada ano. As informações por município podem ser encontradas no conjunto de dados “Valor Comercial por Município (NTRP)” publicado no Portal de Dados Abertos da ANS. Link: https://dados.gov.br/dados/conjuntos-dados/valor-comercial-por-municipio-ntrp";"ANS,NTRP,planos de saúde,valor comercial";"2";"0";"2742"
"ANS - Agência Nacional de Saúde Suplementar";"Painel de indicadores de Glosa";"Trata-se de dados sobre faturamento e aplicação de glosas (valores pagos/glosados e prazos de pagamento) que têm o objetivo de promover a transparência das informações relativas às relações entre prestadores e operadoras no Setor Suplementar de Saúde. Estão disponíveis cinco indicadores que têm como fonte os dados recebidos por meio do Padrão TISS (Padrão de Troca de Informações da Saúde Suplementar).";"ANS,Prestadores de saúde,Saúde Suplementar,glosas,operadoras de planos de saúde";"3";"0";"713"
"ANS - Agência Nacional de Saúde Suplementar";"Penalidades aplicadas a operadoras";"---------- EM MANUTENÇÃO ----------
Dados processuais e financeiros das penalidades aplicadas a operadoras de planos privados de assistência à saúde e a administradoras de benefícios por infrações administrativas às normas regulamentares da Saúde Suplementar.";"ANS,operadoras,penalidades";"2";"0";"1016"
"ANS - Agência Nacional de Saúde Suplementar";"Percentuais de Reajuste de Agrupamento";"Este conjunto de dados apresenta a série histórica dos percentuais de reajuste aplicados aos contratos coletivos agrupados (obrigatoriamente aqueles com menos de 30 beneficiários) de cada operadora de plano de saúde, conforme informações fornecidas na Pesquisa Anual de Agrupamento de Contratos. Para mais informações: https://www.gov.br/ans/pt-br/assuntos/consumidor/reajuste-variacao-de-mensalidade/reajuste-anual-de-planos-coletivos.";"ANS,contratos,operadoras,planos de saúde";"3";"0";"215"
"ANS - Agência Nacional de Saúde Suplementar";"Percentual histórico de cobrança (%hc) do ressarcimento ao SUS";"O percentual histórico de cobrança (%hc) é calculado, conforme a IN º 5, da DIOPE e da DIDES, de 2011, com base no histórico individual das operadoras. O total dos valores cobrados é dividido pelo total dos valores notificados, com base nos ABIs emitidos até 120 dias anteriores ao mês da contabilização.";"ANS,Ressarcimento ao SUS,SUS,operadoras";"2";"0";"4191"
"ANS - Agência Nacional de Saúde Suplementar";"Plano Anual de Atividades da Auditoria Interna (PAINT)";"O Plano Anual de Atividades de Auditoria Interna (PAINT) é o instrumento onde estão consolidadas as ações de auditoria previstas para serem realizadas no exercício seguinte, bem como a estimativa da força de trabalho e de horas necessárias para sua consecução.
Os objetos passíveis de avaliação pela Unidade de Auditoria Interna (AUDIT) são identificados para serem auditados a partir do conjunto de processos de trabalho da Agência Nacional de Saúde Suplementar (ANS), os quais são selecionados para serem auditados por meio de critérios de risco, por obrigação normativa ou por solicitação da alta administração.
O PAINT é elaborado, principalmente, em aderência aos seguintes normativos: i) Decreto nº 3.591/2000; ii) Instrução Normativa CGU nº 3/2017; iii) Instrução Normativa CGU nº 8/2017; iv) Instrução Normativa CGU nº 5/2021; v) e Normas Internacionais para a Prática Profissional de Auditoria Interna (IPPF), do The Institute of Internal Auditors (IIA Global).";"ANS,PAINT,auditoria interna";"2";"0";"193"
"ANS - Agência Nacional de Saúde Suplementar";"Prestadores Acreditados";"Apresenta os Prestadores de serviços de saúde acreditados de acordo com os critérios do Programa de Qualificação de Prestadores de Serviço na Saúde Suplementar (QUALISS).
As informações sobre prestadores acreditados são fornecidas pelas Entidades Acreditadoras de Serviços de Saúde, que são pessoas jurídicas que têm reconhecimento de competência ou de metodologia de acreditação emitidos pelo INMETRO ou pela ISQua para executar programas de acreditação de prestadores de serviços de saúde. As Entidades Acreditadoras emitem o Certificado de Acreditação aos Prestadores de Serviços de Saúde e atualizam as informações para divulgação no Portal da ANS.
Certificado de Acreditação é um documento emitido por Entidade Acreditadora de Serviços de Saúde, com prazo de validade, reconhecendo formalmente que um prestador de serviços de saúde atende a requisitos associados ao aprimoramento da gestão e a melhoria na qualidade da atenção à saúde.";"ANS,Prestadores,Qualiss";"2";"0";"662"
"ANS - Agência Nacional de Saúde Suplementar";"Procedimentos Ambulatoriais por UF";"Trata-se de um conjunto de dados abertos contendo a lista de procedimentos realizados em ambiente ambulatorial pelos estabelecimentos que prestam serviço às operadoras de planos de saúde, por UF e mês e ano de competência.";"ANS,TISS,operadoras,planos de saúde,procedimentos ambulatoriais";"3";"0";"4505"
"ANS - Agência Nacional de Saúde Suplementar";"Procedimentos Hospitalares por UF";"Trata-se de um conjunto de dados abertos contendo uma Lista de procedimentos realizados em ambiente hospitalar pelos estabelecimentos que prestam serviço às operadoras de planos de saúde, por UF e mês e ano de competência.";"ANS,TISS,operadoras,planos de saúde,procedimentos hospitalares";"3";"0";"6805"
"ANS - Agência Nacional de Saúde Suplementar";"Produtos e Prestadores Hospitalares";"Trata-se de conjunto de dados abertos que contém informações sobre a Rede de atendimento hospitalar ou urgência/emergência por plano de saúde: Listagem da rede de atendimento hospitalar ou urgência/emergência por plano de saúde e operadora.";"ANS,operadoras,planos de saúde,rede de atendimento";"2";"0";"5001"
